LogTypes,Number,EPS,GbPerDay,EPS ,GB/Day
Network Firewalls (Layer 7 Internal),1,240,9.86,240,9.86
EPS: 66   GB/Day: 9.86  Network Firewalls (Layer 7 - DMZ),1,100,4.02,100,4.02
Network Firewalls (Internal),1,240,4.83,240,4.83
Network Firewalls (DMZ),1,50,0.51,50,0.51
Windows Servers - MED EPS (Event Log),1,3,0.09,3,0.09
Windows Servers - LOW EPS (Event Log),1,1,0.03,1,0.03
Network Switches,1,2,0.01,2,0.01
Other Network Devices,1,10,0.1,10,0.1
Windows Clients (PCs / Tablets / POS),1,0.0005,0.00003,0.0005,0.00003
Linux Servers,1,3,0.07,3,0.07
Network Routers,1,1,0.02,1,0.02
Network Flows (NetFlow/S-Flow),1,30,0.97,30,0.97
Network Wireless LAN,1,5,0.06,5,0.06
Network Load-Balancers,1,5,0.06,5,0.06
Other Security Devices,1,5,0.3,5,0.3
Network IPS/IDS,1,100,2.41,100,2.41
Network VPN / SSL VPN,1,2,0.05,2,0.05
Network Web Proxy,1,20,1.05,20,1.05
" HyperVisor (ESXi, Hyper-V etc)",1,15,1.21,15,1.21
